Symbol,Company,Industry
BZH,"Beazer Homes USA, Inc.",Household Durables
BZIC,Beamz Interactive Inc,Leisure Products
CAAS,"China Automotive Systems, Inc.",Auto Components
CABO,Cable One Inc,Media
CACH,Cache Inc,Specialty Retail
CAFI,NowAuto Group Inc,Specialty Retail
CAGU,"The Castle Group, Inc.","Hotels, Restaurants & Leisure"
CAHI,Carrier Alliance Holdings Inc,Specialty Retail
CAKE,Cheesecake Factory Inc,"Hotels, Restaurants & Leisure"
CAL,Caleres Inc,Specialty Retail
CALI,China Auto Logistics Inc,Specialty Retail
CAME,Chinamerica Andy Movie Entert Media Co,Media
CAMG,CAM Group Inc,Media
CATG,Capstone Technologies Group Inc,Diversified Consumer Services
CATO,Cato Corp,Specialty Retail
CBK,Christopher & Banks Corporation,Specialty Retail
CBRL,"Cracker Barrel Old Country Store, Inc.","Hotels, Restaurants & Leisure"
CBS,CBS Corporation,Media
CCL,Carnival Corp,"Hotels, Restaurants & Leisure"
CCO,"Clear Channel Outdoor Holdings, Inc.",Media
CCS,Century Communities Inc,Household Durables
CDTI,CDTi Advanced Materials Inc,Auto Components
CEAI,"China Education Alliance, Inc.",Diversified Consumer Services
CECO,Career Education Corp.,Diversified Consumer Services
CETV,Central European Media Enterprises Ltd.,Media
CEXE,Circle Entertainment Inc,"Hotels, Restaurants & Leisure"
CGAC,Code Green Apparel Corp,"Textiles, Apparel & Luxury Goods"
CGEAF,COGECO COMMUNICATIONS INC,Media
CGECF,COGECO INC  -SUB VTG,Media
CGLD,Buscar Co,"Hotels, Restaurants & Leisure"
CGPI,China Redstone Group Inc,Diversified Consumer Services
CGWB,China Gewang Biotechnology Inc,Distributors
CHCI,Comstock Holding Companies Inc,Household Durables
CHDN,"Churchill Downs, Inc.","Hotels, Restaurants & Leisure"
CHGG,Chegg Inc,Diversified Consumer Services
CHH,Choice Hotels International Inc,"Hotels, Restaurants & Leisure"
CHKE,Cherokee Inc,"Textiles, Apparel & Luxury Goods"
CHND,"China Media, Inc.",Media
CHS,"Chico's FAS, Inc.",Specialty Retail
CHTR,Charter Communications Inc,Media
CHUY,Chuy's Holdings Inc,"Hotels, Restaurants & Leisure"
CIDM,Cinedigm Corp,Media
CIVS,China Ivy School Inc,Diversified Consumer Services
CJREF,Corus Entertainment Inc. (USA),Media
CLAR,Clarus Corp,Leisure Products
CLCN,Creative Learning Corporation,Diversified Consumer Services
CLCT,"Collectors Universe, Inc.",Diversified Consumer Services
CLKXF,TWC ENTERPRISES LTD,"Hotels, Restaurants & Leisure"
CLOW,Cloudweb Inc,Distributors
CLUB,"Town Sports International Holdings, Inc.","Hotels, Restaurants & Leisure"
CLWY,"Calloway's Nursery, Inc.",Specialty Retail
CMCSA,Comcast Corporation,Media
CMG,"Chipotle Mexican Grill, Inc.","Hotels, Restaurants & Leisure"
CMGO,CMG Holdings Group Inc,Media
CMLSQ,Cumulus Media Inc,Media
CNCM,"Connected Media Technologies, Inc.",Media
CNET,Chinanet Online Holdings Inc,Media
CNGO,Cengage Learning Holdings II Inc,Diversified Consumer Services
CNK,"Cinemark Holdings, Inc.",Media
CNTY,"Century Casinos, Inc.","Hotels, Restaurants & Leisure"
CNVT,CVF Technologies Corporation,Automobiles
COE,China Online Education Group - ADR,Diversified Consumer Services
COFI,Credit One Financial Inc,Media
COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods"
CONN,Conn's Inc,Specialty Retail
CORE,"Core-Mark Holding Company, Inc.",Distributors
COTE,Coates International Ltd,Auto Components
CPHC,Canterbury Park Holding Corp,"Hotels, Restaurants & Leisure"
CPLA,Capella Education Company,Diversified Consumer Services
CPPD,Circa Pictures And Production Co Intl,Media
CPS,Cooper-Standard Holdings Inc,Auto Components
CPSO,CapSource Financial Inc,Specialty Retail
CPXGF,CINEPLEX INC,Media
CREX,Creative Realities Inc,Media
