symbol,name
HNRG,Hallador Energy Co
HNWEF,HANWEI ENERGY SVCS CORP COM
HOS,"Hornbeck Offshore Services, Inc."
HP,"Helmerich & Payne, Inc."
HPTG,Hydrophi Technologies Group Inc
HUSA,Houston American Energy Corporation
HUSKF,Husky Energy Inc (USA)
HYKCF,HYDUKE ENERGY SERVICES INC COM
ICD,Independence Contract Drilling Inc
IFNY,Infinity Energy Resources Inc.
IFRTF,INTL FRONTIER RESOURCES CORP
IGPG,"Ignis Petroleum Group, Inc."
IMO,Imperial Oil Ltd (USA)
INSW,International Seaways Inc
INT,World Fuel Services Corp
IO,Ion Geophysical Corp
IOGIF,IRONHORSE OIL & GAS INC
IRIG,Integrated Drilling Equipment Hlds Corp
ISRJF,GEN III OIL CORPORATION
ISRL,"Isramco, Inc."
ITPG,ITP Energy Corp
IXOG,Index Oil and Gas Inc
JAG,Jagged Peak Energy Inc
JDOGQ,John D. Oil and Gas Co.
JECFF,JURA ENERGY CORP COM NEW
JNEXF,JUNEX INC
JONE,Jones Energy Inc
JROOF,JERICHO OIL CORP
JYHW,Jayhawk Energy Inc
KALG,KAL Energy Inc
KDKN,Kodiak Energy Inc.
KEG,"Key Energy Services, Inc."
KELTF,KELT EXPLORATION LTD
KEYUF,KEYERA CORP
KFGRF,KFG RESOURCES LTD
KHRIF,KHAN RESOURCES INC
KLEG,Blue Sugars Corp
KMI,Kinder Morgan Inc
KNOLF,KNOL RESOURCES CORP
KNOP,KNOT Offshore Partners LP
KOS,Kosmos Energy Ltd
KRP,Kimbell Royalty Partners LP
KVLQF,KIVALLIQ ENERGY CORP
LBRT,Liberty Oilfield Services Inc
LBTG,Liberty Coal Energy Corp
LBYE,Liberty Energy Corp.
LCTZ,La Cortez Energy Inc
LEU,Centrus Energy Corp
LGCY,Legacy Reserves LP
LLEN,"L&L Energy, Inc."
LLEX,Lilis Energy Inc
LNDT,LianDi Clean Technology Inc
LNG,"Cheniere Energy, Inc."
LNGG,Linn Energy Inc
LOGL,Legend Oil and Gas Ltd
LONE,Lonestar Resources US Inc
LOONF,LOON ENERGY CORP
LPG,Dorian LPG Ltd
LPI,Laredo Petroleum Inc
LPIH,Longwei Petroleum Investment Hold Ltd
LRDC,Laredo Oil Inc
LUKOY,NK Lukoil PAO (ADR)
MARPS,Marine Petroleum Trust
MAXE,Maxwell Resources Inc
MCCHF,MCCHIP RESOURCES INC
MCEP,Mid-Con Energy Partners LP
MCESF,MACRO ENTERPRISES INC
MCF,Contango Oil & Gas Company
MDLNF,MADALENA ENERGY INC
MDR,McDermott International Inc
MEIL,Methes Energies International Ltd
MIND,"Mitcham Industries, Inc."
MKRYF,MANITOK ENERGY INC
MKSEF,MARKSMEN ENERGY INC
MLLGF,MULLEN GROUP LTD
MMBF,Momentum Biofuels Inc
MMLP,Martin Midstream Partners L.P.
MMP,"Magellan Midstream Partners, L.P."
MNAP,MNP Petroleum Corp
MNELF,Mission NewEnergy Ltd
MOOIF,MOONCOR OIL & GAS CORP
MPC,Marathon Petroleum Corp
MPLX,MPLX LP
MPO,Midstates Petroleum Company Inc
MRO,Marathon Oil Corporation
MTDR,Matador Resources Co
MTLRF,METALORE RESOURCES LTD
MTR,Mesa Royalty Trust
MTRX,Matrix Service Co
MUR,Murphy Oil Corporation
MVO,MV Oil Trust
MVRM,Maverick Minerals Corp
MWCAF,MATACHEWAN CONS MINES LTD
MXC,Mexco Energy Corporation
MXMSF,MAXIM RES INC COM NEW
NACG,Be Industries Inc
NAO,Nordic American Offshore Ltd
NAP,Navios Maritime Midstream Partners LP
NAT,Nordic American Tanker Ltd
NBL,"Noble Energy, Inc."
NBLX,Noble Midstream Partners LP
NBR,Nabors Industries Ltd.
NCSM,NCS Multistage Holdings Inc
NDRO,Enduro Royalty Trust
NE,Noble Corporation PLC
NEGY,Nation Energy Inc
NFEI,New Frontier Energy Inc.
NFX,Newfield Exploration Co.
NGL,NGL Energy Partners LP
NGL-B,NGL Energy Partners LP
NGLE,Novamex Energy Inc
NGLS-A,Targa Resources Partners LP
NGS,"Natural Gas Services Group, Inc."
NINE,Nine Energy Service Inc
NNA,Navios Maritime Acquisition Corporation
NOA,North American Energy Partners Inc.(USA)
NOG,"Northern Oil & Gas, Inc."
NOV,"National-Oilwell Varco, Inc."
NOVKY,Novatek PAO - ADR
NR,Newpark Resources Inc
NRGT,Energy Today Inc
NRP,Natural Resource Partners LP
NRT,North European Oil Royalty Trust
NS,NuStar Energy L.P.
NS-A,NuStar Energy LP
NS-B,NuStar Energy LP
NS-C,NuStar Energy LP
NSFDF,NXT Energy Solutions Inc
NSH,"NuStar GP Holdings, LLC"
NSLPQ,New Source Energy Partners LP
NUVSF,NUVISTA ENERGY LTD
NVGS,Navigator Holdings Ltd
NXUR,NX Uranium Inc
OAS,Oasis Petroleum Inc.
OBE,Obsidian Energy Ltd
OCEX,Oceanic Exploration Co.
OCTX,Octagon 88 Resources Inc
ODEFF,PETRICHOR ENERGY INC
OEDVQ,Osage Exploration and Development Inc
OGFGY,Origin Energy Ltd (ADR)
OGZPY,Gazprom PAO (ADR)
OII,Oceaneering International
OIS,"Oil States International, Inc."
OJSCY,ROSNEFT OIL COMPANY
OKE,"ONEOK, Inc."
OMP,Oasis Midstream Partners LP
OMVKY,OMV AG (ADR)
OOGI,Eco Fuel Energy Inc
ORIG,Ocean Rig UDW Inc
ORXGF,ORCA EXPLORATION GROUP INC
ORXPF,ORYX PETROLEUM CORP LTD
OSG,Overseas Shipholding Group Inc.
OXY,Occidental Petroleum Corporation
PAA,"Plains All American Pipeline, L.P."
PACDQ,Pacific Drilling SA
PAGP,Plains GP Holdings LP
PALAF,Paladin Energy Ltd
PARR,Par Pacific Holdings Inc
PARXF,PAREX RESOURCES INC
PBA,Pembina Pipeline Corp
PBF,PBF Energy Inc
PBFX,PBF Logistics LP
PBR,Petroleo Brasileiro SA Petrobras (ADR)
PBT,Permian Basin Royalty Trust
PCNT,Point of Care Nano-Technology Inc
PCQRF,PETROLYMPIC LTD
PDCE,PDC Energy Inc
PDGO,Paradigm Oil and Gas Inc
PDS,Precision Drilling Corp (USA)
PE,Parsley Energy Inc
PEATF,PEAT RESOURCES LTD
PED,Pedevco Corp
PEIX,Pacific Ethanol Inc
PER,SandRidge Permian Trust
PES,Pioneer Energy Services Corp
PFIE,"Profire Energy, Inc."
PGH,Pengrowth Energy Corp (USA)
PGIE,PGI Energy Inc
PGSI,Pegasi Energy Resources Corp
PGSVY,Petroleum Geo-Services ASA (ADR)
PGYC,Patriot Energy Corp.
PHII,PHI Inc.
PHIIK,PHI INC COM NON VTG
PHNHF,AVEDA TRANSN AND ENERGY SVCS
PHX,Panhandle Oil and Gas Inc.
PHXCF,PHOENIX CANADA OIL CO LTD
PHXHF,PHX ENERGY SERVICES CORP
PIFYF,PINE CLIFF ENERGY LTD
PKD,Parker Drilling Company
PKPL,Park Place Energy Inc
PMDP,Plateau Mineral Development Inc
PMEHF,PRIMELINE ENERGY HLDGS INC
PNRG,PrimeEnergy Corporation
PNWRF,VALEURA ENERGY INC
POGS,Pioneer Oil and Gas
POLJF,POLO RESOURCES LTD
POLR,Polar Petroleum Corp
PPEVF,PACIFIC PARADYM ENERGY INC COM NEW
PQ,Petroquest Energy Inc
PRCYF,IKKUMA RESOURCES CORP
PREKF,PRAIRIESKY ROYALTY LTD
PREXF,Power Resource Exploration Inc
PRHR,PetroShare Corp
PRMRF,Paramount Resources Ltd (USA)
PROP,Pledge Petroleum Corp
PSCSF,CERUS ENERGY GROUP LTD
PSJEY,Petsec Energy Ltd (ADR)
PSON,Petrosonic Energy Inc
PSTRQ,PostRock Energy Corporation
PSX,Phillips 66
PSXP,Phillips 66 Partners LP
PTCP,"PetroCorp, Inc."
PTEN,"Patterson-UTI Energy, Inc."
PTOI,Plastic2Oil Inc
PTR,PetroChina Company Limited (ADR)
PTRA,PetroTerra Corp.
PTRC,Wrap Technologies Inc
PTRDF,PETRODORADO ENERGY LTD
PTTN,Patten Energy Solutions Group Inc
PTVYF,PETRO VISTA ENERGY CORP
PUMGF,PUREPOINT URANIUM GROUP INC
PUMP,Propetro Holding Corp
PVAC,Penn Virginia Corporation
PVRS,"Providence Resources, Inc."
PWURF,AZARGA URANIUM CORP
PXD,Pioneer Natural Resources
PZE,Petrobras Argentina SA ADR
QEP,QEP Resources Inc
QSEP,QS Energy Inc
QUTIF,QUESTOR TECHNOLOGY INC
RANGF,NORTH SEA ENERGY INC COM
RCON,"Recon Technology, Ltd."
RDC,Rowan Companies PLC
RDMPQ,Red Mountain Resources Inc
RDS.A,Royal Dutch Shell plc (ADR)
REGI,Renewable Energy Group Inc
REGX,"Red Trail Energy, LLC"
REI,Ring Energy Inc
REN,Resolute Energy Corp
REOS,ReoStar Energy Corporation
REPYY,Repsol SA (ADR)
RES,"RPC, Inc."
REX,REX American Resources Corp
REXX,Rex Energy Corporation
RGFR,Rangeford Resources Inc
RGGI,Resgreen Group International Inc
RHNO,"Rhino Resource Partners, L.P."
RIG,Transocean LTD
RIOB,Rio Bravo Oil Inc
RMP,Rice Midstream Partners LP
RNET,RigNet Inc
ROGI,"Radiant Oil & Gas, Inc."
ROSE,Rosehill Resources Inc
ROSEU,ROSEHILL RESOURCES INC
ROYE,Royal Energy Resources Inc
ROYL,"Royale Energy, Inc."
ROYT,Pacific Coast Oil Trust
RRC,Range Resources Corp.
RRENF,RAGING RIVER EXPLORATION INC
RSPP,RSP Permian Inc
RSRV,Reserve Petroleum Co
RTSO,RTS Oil Holdings Inc
RVDO,Riverdale Oil & Gas Corp.
RVTI,"Rival Technologies, Inc."
RWFC,Renewable Fuel Corp
RYPE,Royalite Petroleum Co Inc
SAEX,SAExploration Holdings Inc
SAHRF,SAHARA ENERGY LTD
SARA,"Saratoga Resources, Inc."
SAWLF,Shawcor Ltd (USA)
SBOW,SilverBow Resources Inc
SBR,Sabine Royalty Trust
SCNG,Evolution Fuels Inc
SD,SandRidge Energy Inc.
SDLP,Seadrill Partners LLC
SDPI,Superior Drilling Products Inc
SDR,SandRidge Mississippian Trust II
SDRL,Seadrill Ltd
SDRYF,SDX ENERGY INC
SDT,Sandridge Mississippian Trust I
SECYF,SECURE ENERGY SERVICES INC
SEMG,SemGroup Corp
SEP,"Spectra Energy Partners, LP"
SES,"Synthesis Energy Systems, Inc."
SFL,Ship Finance International Limited
SFPI,Santa Fe Petroleum Inc
SGQRF,SOUTHGOBI RESOURCES LTD
SGTZY,Surgutneftegas OAO (ADR)
SGY,Stone Energy Corporation
SGZH,US China Mining Group Inc
SHGP,Sharpe Resources Corp
SHLX,Shell Midstream Partners LP
SHPNF,SHOAL POINT ENERGY LTD
SJT,San Juan Basin Royalty Trust
SKNAF,MENA HYDROCARBONS INC
SKPI,Sky Petroleum Inc
SLB,Schlumberger Limited.
SLCA,U.S. Silica Holdings Inc
SM,SM Energy Co
SMHI,SEACOR Marine Holdings Inc
SMLP,Summit Midstream Partners LP
SN,Sanchez Energy Corp
SND,Smart Sand Inc
SNMP,Sanchez Production Partners LP
SNP,China Petroleum & Chemical Corp (ADR)
SNUYF,SERINUS ENERGY INC
SNVFD,Sonoro Energy Ltd (USA)
SNVP,Savoy Energy Corp
SOI,Solaris Oilfield Infrastructure Inc
SOIGF,Strata Oil & Gas Inc
SOIS,"Striker Oil & Gas, Inc."
SPGYF,WHITECAP RESOURCES INC
SPLM,Sentry Petroleum Ltd
SPN,"Superior Energy Services, Inc."
SPND,Spindletop Oil & Gas Co
SPNRF,SPARTON RESOURCES INC
SPRL,Strat Petroleum Ltd
SPRN,Supernova Energy Inc
SQTX,Solar Quartz Technologies Corp
SQZZF,SERICA ENERGY PLC
SRCI,SRC Energy Inc
SRLP,Sprague Resources LP
SRMLF,STORM RESOURCES LTD
SRNW,Stratos Renewables Corp
SRSIF,Strateco Resources Inc. (USA)
SSLTY,Santos Ltd (ADR)
SSNYY,Samson Oil & Gas Limited (ADR)
STDE,Standard Energy Corp
STMGF,Stamper Oil & Gas Corp
STNG,Scorpio Tankers Inc.
STO,Statoil ASA(ADR)
STPJF,Southern Pacific Resource Corp.
STRDF,STRAD ENERGY SERVICES LTD
STRXF,STRATA-X ENERGY LTD
STSC,Start Scientific Inc
STTX,Stratex Oil & Gas Holdings Inc
STWSQ,STW Resources Holding Corp
SU,Suncor Energy Inc. (USA)
SUBCY,Subsea 7 SA (ADR)
SUN,Sunoco LP
SUNYF,SUNSHINE OILSANDS LTD
SVSE,"Silver Star Energy, Inc."
SWN,Southwestern Energy Company
SXE,Southcross Energy Partners LP
SYHBF,SKYHARBOUR RESOURCES LTD
TAGG,TagLikeMe Corp
TAMO,TAMM Oil & Gas Corp
TAOIF,Tag Oil Ltd
TAT,TransAtlantic Petroleum Ltd
TBDYF,GORDON CREEK ENERGY INC
TCEC,TransCoastal Corp
TCP,"TC Pipelines, LP"
TDW,Tidewater Inc.
TECO,Trimerica Services Inc
TEGP,Tallgrass Energy GP LP
TEGR,"Terra Energy & Resource Tech., Inc."
TELL,Tellurian Inc
TENG,"Trans Energy, Inc."
TEP,Tallgrass Energy Partners LP
TGA,TransGlobe Energy Corporation (USA)
TGC,"Tengasco, Inc."
TGP,Teekay LNG Partners L.P.
TGP-A,Teekay LNG Partners LP
TGP-B,Teekay LNG Partners LP
TGRO,Tiger Oil and Energy Inc
TGS,Transportadora de Gas del Sur SA (ADR)
TIRTZ,Tidelands Royalty Trust B
TK,Teekay Corporation
TLP,TransMontaigne Partners L.P.
TMKOY,TMK PAO
TNEN,True North Energy Corp.
TNEYF,TAMARACK VALLEY ENERGY LTD
TNK,Teekay Tankers Ltd.
TNKY,TN-K Energy Group Inc
TNP,Tsakos Energy Navigation Ltd.
TNP-B,Tsakos Energy Navigation Ltd
TNP-C,Tsakos Energy Navigation Ltd
TNP-D,Tsakos Energy Navigation Ltd
TNP-E,Tsakos Energy Navigation Ltd
TOO,Teekay Offshore Partners L.P.
TOO-A,Teekay Offshore Partners LP
TOO-E,Teekay Offshore Partners LP
TOPS,TOP SHIPS Inc
TOT,Total SA (ADR)
TOTZF,TOTAL ENERGY SERVICES INC
TPLM,Triangle Petroleum Corporation
TPNEF,CUB ENERGY INC
TRCH,Torchlight Energy Resources Inc
TRGP,Targa Resources Corp
TRMLF,TOURMALINE OIL CORP
TRP,TransCanada Corporation (USA)
TRSI,Trophy Resources Inc.
TRXO,T-Rex Oil Inc
TS,Tenaris SA  (ADR)
TSCEF,TOSCANA ENERGY INCOME CORP
TTEN,Titan Energy LLC
TTI,"TETRA Technologies, Inc."
TUSK,Mammoth Energy Services Inc
TVETF,TRAVERSE ENERGY LTD
TXHE,Texhoma Energy Inc
TXSO,Texas South Energy Inc
UAPC,United American Petroleum Corp
UBRG,Universal Bioenergy Inc
UEC,Uranium Energy Corp.
UGP,Ultrapar Participacoes SA (ADR)
UNGS,Sylios Corp
UNT,Unit Corporation
UPL,Ultra Petroleum Corp
URG,Ur-Energy Inc. (USA)
URVNF,URAVAN MINERALS INC
URXZF,TENTH AVENUE PETROLEUM CORP
USAC,Usa Compression Partners LP
USDP,USD Partners LP
USEG,U.S. Energy Corp.
UUUU,Energy Fuels Inc (USA)
VCAN,Vican Resources Inc
VCYE,Velocity Energy Inc
VELXF,CANADIAN OVERSEAS PETRO LTD
VET,Vermilion Energy Inc
VLO,Valero Energy Corporation
VLP,Valero Energy Partners LP
VNLEF,VANOIL ENERGY LTD
VNOM,Viper Energy Partners LP
