Symbol,Company,Industry
BLSSF,Black Sea Copper & Gold Corp,Metals & Mining
BLVDF,BELVEDERE RESOURCES LTD,Metals & Mining
BMIN,Britannia Mining Inc,Metals & Mining
BMIX,Brazil Minerals Inc,Metals & Mining
BMPAF,BRAMPTON BRICK LTD CL A SUB VTG,Construction Materials
BMS,"Bemis Company, Inc.",Containers & Packaging
BNTRF,BENTON RESOURCES INC,Metals & Mining
BONU,BioNeutral Group Inc,Chemicals
BONZ,Bonanza Goldfields Corp.,Metals & Mining
BRIOF,MAGNA TERRA MINERALS INC,Metals & Mining
BRNE,Borneo Resource Investments Ltd,Metals & Mining
BRSGF,LITHION ENERGY CORP,Metals & Mining
BRTE,"Brightec, Inc.",Chemicals
BRUZF,CANADA CARBON INC,Metals & Mining
BSRAF,Besra Gold Inc (USA),Metals & Mining
BTG,B2GOLD CORP,Metals & Mining
BUR,Burcon NutraScience Corp,Chemicals
BURNF,BURNSTONE VENTURES INC,Metals & Mining
BVLDF,BOLD VENTURES INC,Metals & Mining
BVN,Compania de Minas Buenaventura SAA (ADR),Metals & Mining
BVTEF,ICONIC MINERALS LTD,Metals & Mining
BWMXF,OSISKO METALS INCORPORATED,Metals & Mining
BXTMF,BRIXTON METALS CORP,Metals & Mining
BZDLF,KINCORA COPPER LTD,Metals & Mining
CADC,China Advanced Constructn Mtrls Grp Inc,Construction Materials
CADIF,CADILLAC VENTURES INC,Metals & Mining
CAEN,California-Engels Mining Company,Paper & Forest Products
CAFZF,CANAF GROUP INC,Metals & Mining
CARAF,CARACARA SILVER INC,Metals & Mining
CBEEF,CABO DRILLING CORP,Metals & Mining
CBLRF,"Campbell Resources, Inc. (USA)",Metals & Mining
CBRSF,CHAMPION BEAR RESOURCES LTD,Metals & Mining
CBT,Cabot Corp,Chemicals
CC,Chemours Co,Chemicals
CCARF,COLONIAL COAL INTL CORP,Metals & Mining
CCDBF,CCL INDUSTRIES  -CL B,Containers & Packaging
CCEDF,CASCADERO COPPER CORP,Metals & Mining
CCF,Chase Corporation,Chemicals
CCHI,"Cambridge Capital Holdings, Inc.",Metals & Mining
CCJMF,MELIOR RESOURCES INC,Metals & Mining
CCK,"Crown Holdings, Inc.",Containers & Packaging
CCNCF,KAIZEN DISCOVERY INC,Metals & Mining
CCOXF,CANDENTE COPPER CORP,Metals & Mining
CDBT,China Dasheng Biotechnology Co,Chemicals
CDE,Coeur Mining Inc,Metals & Mining
CDNN,China Industrial Steel Inc,Metals & Mining
CDXS,"Codexis, Inc.",Chemicals
CDYCF,Cardero Resource Corp (USA),Metals & Mining
CE,Celanese Corporation,Chemicals
CENX,Century Aluminum Co,Metals & Mining
CERPQ,Cereplast Inc,Chemicals
CEUMF,CENTURY GLOBAL COMMODITIES,Metals & Mining
CF,"CF Industries Holdings, Inc.",Chemicals
CFGMF,CALIFORNIA GOLD MINING INC,Metals & Mining
CFPUF,CANFOR PULP PRODUCTS INC,Paper & Forest Products
CFXTF,CONIFEX TIMBER INC,Paper & Forest Products
CGA,"China Green Agriculture, Inc",Chemicals
CGCO,Commerce Group Corp.,Metals & Mining
CGDXF,CANDENTE GOLD CORP,Metals & Mining
CGEKF,COREX GOLD CORP,Metals & Mining
CGFI,Colorado Goldfields Inc,Metals & Mining
CGIFF,CHEMTRADE LOGISTICS INCM FD,Chemicals
CGMLF,CHALICE GOLD MINES LTD,Metals & Mining
CHBU,China Agri Business Inc,Chemicals
CHCC,China Chemical Corp,Chemicals
CHGS,China Gengsheng Minerals Inc,Chemicals
CHNC,China Infrastructure Construction Corp,Construction Materials
CHNR,China Natural Resources Inc,Metals & Mining
CHOPF,China Gerui Adv Mtals Grp Ltd,Metals & Mining
CIBG,Cibolan Gold Corp,Metals & Mining
CIGCF,ANCONIA RES CORP COM,Metals & Mining
