Symbol,Company,Industry
CUBE,CubeSmart,Equity Real Estate Investment Trusts (REITs)
CUZ,Cousins Properties Inc,Equity Real Estate Investment Trusts (REITs)
CXP,Columbia Property Trust Inc,Equity Real Estate Investment Trusts (REITs)
CXW,Corecivic Inc,Equity Real Estate Investment Trusts (REITs)
DCT,DCT Industrial Trust Inc,Equity Real Estate Investment Trusts (REITs)
DDR,DDR Corp,Equity Real Estate Investment Trusts (REITs)
DEA,Easterly Government Properties Inc,Equity Real Estate Investment Trusts (REITs)
DEI,"Douglas Emmett, Inc.",Equity Real Estate Investment Trusts (REITs)
DLR,"Digital Realty Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
DLR-C,Digital Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
DLR-G,Digital Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
DLR-H,Digital Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
DLR-I,Digital Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
DLR-J,Digital Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts (REITs)
DRE,Duke Realty Corp,Equity Real Estate Investment Trusts (REITs)
DRETF,DREAM OFFICE REAL EST INV TR,Equity Real Estate Investment Trusts (REITs)
DREUF,DREAM INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs)
DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts (REITs)
DRUNF,DREAM UNLIMITED CORP,Real Estate Management & Development
DTLA-,Brookfield DTLA Fund Office Trust Investor Inc,Equity Real Estate Investment Trusts (REITs)
DUNDF,DREAM GLOBAL REIT,Equity Real Estate Investment Trusts (REITs)
DWHHF,DEUTSCHE WOHNEN SE,Real Estate Management & Development
EDR,"Education Realty Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
EGP,Eastgroup Properties Inc,Equity Real Estate Investment Trusts (REITs)
ELS,"Equity Lifestyle Properties, Inc.",Equity Real Estate Investment Trusts (REITs)
EMITF,Elbit Imaging Ltd,Real Estate Management & Development
EPR,EPR Properties,Equity Real Estate Investment Trusts (REITs)
EPR-C,EPR Properties,Equity Real Estate Investment Trusts (REITs)
EPR-E,EPR Properties,Equity Real Estate Investment Trusts (REITs)
EPR-G,EPR Properties,Equity Real Estate Investment Trusts (REITs)
EQC,Equity Commonwealth,Equity Real Estate Investment Trusts (REITs)
EQC-D,Equity Commonwealth,Equity Real Estate Investment Trusts (REITs)
EQIX,Equinix Inc,Equity Real Estate Investment Trusts (REITs)
EQR,Equity Residential,Equity Real Estate Investment Trusts (REITs)
ESBA,Empire State Realty OP LP,Equity Real Estate Investment Trusts (REITs)
ESRT,Empire State Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
ESS,Essex Property Trust Inc,Equity Real Estate Investment Trusts (REITs)
EXR,"Extra Space Storage, Inc.",Equity Real Estate Investment Trusts (REITs)
FCE.A,Forest City Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
FCPT,Four Corners Property Trust Inc,Equity Real Estate Investment Trusts (REITs)
FCRGF,FIRST CAPITAL REALTY INC,Real Estate Management & Development
FHRT,First Hartford Corporation,Real Estate Management & Development
FOR,Forestar Group Inc.,Real Estate Management & Development
FPH,Five Point Holdings LLC,Real Estate Management & Development
FPI,Farmland Partners Inc,Equity Real Estate Investment Trusts (REITs)
FPI-B,Farmland Partners Inc,Equity Real Estate Investment Trusts (REITs)
FR,"First Industrial Realty Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
FREVS,First Real Estate Investment Trust of NJ,Equity Real Estate Investment Trusts (REITs)
FRPH,FRP Holdings Inc,Real Estate Management & Development
FRT,Federal Realty Investment Trust,Equity Real Estate Investment Trusts (REITs)
FSP,Franklin Street Properties Corp.,Equity Real Estate Investment Trusts (REITs)
FSV,FIRSTSERVICE CORP,Real Estate Management & Development
FUTL,FutureLand Corp,Real Estate Management & Development
GBCS,Global Healthcare REIT Inc,Equity Real Estate Investment Trusts (REITs)
GEO,The GEO Group Inc,Equity Real Estate Investment Trusts (REITs)
GGP,GGP Inc,Equity Real Estate Investment Trusts (REITs)
GGP-A,GGP Inc,Equity Real Estate Investment Trusts (REITs)
GLCO,Global Links Corporation,Real Estate Management & Development
GLPI,Gaming and Leisure Properties Inc,Equity Real Estate Investment Trusts (REITs)
GMRE,Global Medical REIT Inc,Equity Real Estate Investment Trusts (REITs)
GMRE-A,Global Medical REIT Inc,Equity Real Estate Investment Trusts (REITs)
GNDIF,GENDIS INC  -CL A,Real Estate Management & Development
GNGT,Golden Gate Partners Inc,Real Estate Management & Development
GNL,Global Net Lease Inc,Equity Real Estate Investment Trusts (REITs)
GNL-A,Global Net Lease Inc,Equity Real Estate Investment Trusts (REITs)
GNLAF,GENESIS LAND DEVELOPMENT CP,Real Estate Management & Development
GOHG,"Global Holdings, Inc.",Real Estate Management & Development
GOOD,Gladstone Commercial Corporation,Equity Real Estate Investment Trusts (REITs)
GOV,Government Properties Income Trust,Equity Real Estate Investment Trusts (REITs)
GPT,Gramercy Property Trust,Equity Real Estate Investment Trusts (REITs)
GPT-A,Gramercy Property Trust,Equity Real Estate Investment Trusts (REITs)
GRIF,Griffin Industrial Realty Inc,Real Estate Management & Development
GTY,Getty Realty Corp.,Equity Real Estate Investment Trusts (REITs)
GYRO,Gyrodyne LLC,Real Estate Management & Development
GZT,GAZIT GLOBE,Real Estate Management & Development
HCGI,Huntwicke Capital Group Inc,Real Estate Management & Development
HCP,"HCP, Inc.",Equity Real Estate Investment Trusts (REITs)
HF,"HFF, Inc.",Real Estate Management & Development
HGSH,China Hgs Real Estate  Inc,Real Estate Management & Development
HHBT,HH Biotechnology Holdings Co,Real Estate Management & Development
HHC,Howard Hughes Corp,Real Estate Management & Development
HIFR,InfraREIT Inc,Equity Real Estate Investment Trusts (REITs)
HIHI,Holiday Island Holdings Inc,Real Estate Management & Development
HIW,Highwoods Properties Inc,Equity Real Estate Investment Trusts (REITs)
HMG,HMG/Courtland Properties,Equity Real Estate Investment Trusts (REITs)
HMTF,Home Treasure Finders Inc,Real Estate Management & Development
HOFD,HomeFed Corporation,Real Estate Management & Development
