Symbol,Company,Industry
BFNC,Bank First National Corp,Banks
BFR,BBVA Banco Frances S.A. (ADR),Banks
BGCP,"BGC Partners, Inc.",Capital Markets
BHB,Bar Harbor Bankshares,Banks
BHBK,Blue Hills Bancorp Inc,Banks
BHLB,"Berkshire Hills Bancorp, Inc.",Banks
BK,Bank of New York Mellon Corp,Capital Markets
BKCC,Blackrock Capital Investment Corp,Capital Markets
BKEAY,Bank of East Asia Ltd (ADR),Banks
BKGMF,Bankguam Holding Co,Banks
BKJ,Bancorp of New Jersey Inc,Banks
BKOR,"Oak Ridge Financial Services, Inc.",Banks
BKSC,Bank of SC Corporation,Banks
BKU,BankUnited,Banks
BLK,"BlackRock, Inc.",Capital Markets
BLMT,BSB Bancorp Inc,Thrifts & Mortgage Finance
BLRZF,BLACKHAWK RESOURCE CORP,Capital Markets
BLX,Banco Latinoamericano de Comerci Extr SA,Banks
BMA,Banco Macro SA (ADR),Banks
BMBN,"Benchmark Bankshares, Inc",Banks
BMNM,"Bimini Capital Managment, Inc.",Mortgage Real Estate Investment Trusts (REITs)
BMO,Bank of Montreal (USA),Banks
BMRC,Bank of Marin Bancorp,Banks
BMTC,Bryn Mawr Bank Corp.,Banks
BNCC,"BNCCORP, Inc.",Banks
BNCL,Beneficial Bancorp Inc,Thrifts & Mortgage Finance
BNS,Bank of Nova Scotia,Banks
BOCH,Bank of Commerce Holdings,Banks
BOFI,"BofI Holding, Inc.",Thrifts & Mortgage Finance
BOH,Bank of Hawaii Corporation,Banks
BOKF,BOK Financial Corporation,Banks
BORT,Botetourt Bankshares Inc,Banks
BOTJ,"Bank of the James Financial Group, Inc.",Banks
BPFH,Boston Private Financial Hldg Inc,Banks
BPOP,Popular Inc,Banks
BRBI,"Blue River Bancshares, Inc.",Thrifts & Mortgage Finance
BRK.A,Berkshire Hathaway Inc.,Diversified Financial Services
BRK.B,BERKSHIRE HATHAWAY INC DEL CL B NEW,Diversified Financial Services
BRKL,"Brookline Bancorp, Inc.",Banks
BRLGF,FOUNDERS ADV CAP CORP,Capital Markets
BRO,"Brown & Brown, Inc.",Insurance
BSAC,Banco Santander-Chile (ADR),Banks
BSBR,Banco Santander Brasil SA (ADR),Banks
BSF,Bear State Financial Inc,Thrifts & Mortgage Finance
BSIG,OM Asset Management PLC,Capital Markets
BSMX,Banco Santander Mexico Sa Instcn De(ADR),Banks
BSRR,Sierra Bancorp,Banks
BUSE,First Busey Corporation,Banks
BVBC,Blue Valley Ban Corp.,Banks
BWFG,Bankwell Financial Group Inc,Banks
BWINB,Baldwin & Lyons Inc,Insurance
BX,Blackstone Group LP,Capital Markets
BXLC,Bexil Corporation,Diversified Financial Services
BXMT,Blackstone Mortgage Trust Inc,Mortgage Real Estate Investment Trusts (REITs)
BXS,Bancorpsouth Bank,Banks
BY,Byline Bancorp Inc,Banks
BYBK,Bay Bancorp Inc,Banks
BYFC,Broadway Financial Corp,Thrifts & Mortgage Finance
C,Citigroup Inc,Banks
CAC,Camden National Corporation,Banks
CACC,Credit Acceptance Corp.,Consumer Finance
CADE,Cadence Bancorp,Banks
CAPB,CapitalSouth Bancorp,Banks
CAPP,Capstone Financial Group Inc,Capital Markets
CARE,Carter Bank and Trust,Banks
CARO,Carolina Financial Corp,Banks
